removed_interest,aud_low_est,aud_high_est,date_aud_test,seen_in_CB,unique_user,unique_advertiser
Fibromyalgia awareness,4300000,5000000,2021-12-23,yes,27,33
Fighter pilot,,,,yes,1,2
Fireproof (film),4709820,5540964,2021-10-29,yes,3,7
First Bank of Nigeria Limited,49121,57789,2021-10-29,no,,
First Communion,,,,yes,1,1
Fit Pregnancy,,,,yes,2,8
Flag,,,,yes,6,5
Flag of the United States,11687250,13749705,2021-10-29,yes,49,64
Focus on the Family,4800000,5600000,2022-01-07,yes,28,97
Follow Your Heart,,,,yes,4,3
Food allergy,,,,yes,9,10
For King & Country (band),8900000,10500000,2022-01-07,yes,17,38
Forgiveness,14423720,16969082,2021-10-29,no,,
Fortune (magazine),6715680,7900800,2021-10-29,yes,6,7
Fortune-telling,12155240,14300282,2021-10-29,yes,1,1
Fox & Friends,8600000,10100000,2022-01-07,yes,33,38
Fox Business Network,14414370,16958082,2021-10-29,yes,20,14
Fox Nation,,,,yes,4,2
Fox News Channel,61890310,72812129,2021-10-29,yes,227,250
Fox News Live,48160,56658,2021-10-29,no,,
Fox News Radio,2700000,3200000,2022-01-07,yes,2,3
Fox News Sunday,4700000,5500000,2022-01-07,yes,3,4
Fred Hutchinson Cancer Research Center,,,,yes,4,4
Free market,28091680,33049035,2021-10-29,yes,6,6
Free will,,,,yes,4,3
Freedom of speech,22220408,26131200,2022-02-08,yes,17,17
FreedomWorks,,,,yes,7,3
Freethought,9196800,10819764,2021-10-29,yes,5,3
Fresenius (company),,,,yes,1,1
Friends of the Earth,2098954,2469357,2021-10-29,yes,16,24
"From my cold, dead hands",,,,yes,6,5
Full Frontal with Samantha Bee,,,,yes,14,9
Gabby Giffords,,,,yes,5,3
Gabrielle Bernstein,419525,493558,2021-10-29,yes,2,3
Gagra choli,7568950,8904647,2021-10-29,no,,
Garrett-Evangelical Theological Seminary,3339,3928,2021-10-29,no,,
Gautama Buddha,,,,yes,2,2
Gavin Newsom,26108830,30716270,2021-10-29,yes,15,3
Gay & Lesbian Victory Fund,,,,yes,7,9
Gay bar,3000000,3500000,2022-01-07,yes,9,24
Gay Life,,,,yes,5,10
Gay News,,,,yes,28,35
Gay pride,22100000,26000000,2022-01-07,yes,176,341
Gay Star News,,,,yes,6,9
Gay Times,16687,19631,2022-01-07,yes,5,7
Gay village,,,,yes,3,5
Gay-friendly,,,,yes,4,9
Gay–straight alliance,,,,yes,2,2
"Gay, Lesbian and Straight Education Network",,,,yes,1,1
"Gay, Lesbian, Bisexual, Transgender, Straight Alliance",,,,yes,3,2
Gender equality,3000000,3500000,2022-01-07,yes,50,37
Gender identity,,,,yes,5,6
Gender variance,,,,yes,1,1
Gender-neutral language,,,,yes,2,2
Gender-specific and gender-neutral pronouns,3300000,3900000,2022-01-07,yes,1,5
Genderqueer,6600000,7800000,2022-01-07,yes,74,115
General Conference of Seventh-day Adventists,,,,yes,1,3
Genetic disorder,1500000,1700000,2021-12-23,yes,6,4
George W. Bush,,,,yes,6,4
Geraldo Rivera,,,,yes,1,1
Ghost,72940170,85811964,2021-10-29,yes,21,21
Girl power,20500000,24100000,2022-01-07,yes,2,2
GLAAD,886600,1000000,2022-01-07,yes,25,22
Global warming,,,,yes,32,20
Global warming hiatus,,,,yes,2,1
Glossary of Islam,,,,yes,2,13
Gluten-free diet,,,,yes,172,230
"Gluten-free, casein-free diet",,,,yes,3,4
Gluteus maximus muscle,,,,yes,4,2
GMA News and Public Affairs,45017760,52962070,2021-10-29,no,,
GNR - Guarda Nacional Republicana,9598,11291,2021-10-29,no,,
God,49700000,58500000,2022-01-07,yes,143,130
God in Christianity,5900000,6900000,2022-01-07,yes,34,37
God in Islam,,,,yes,2,6
God the Father,,,,yes,8,11
GOD TV,,,,yes,2,3
Goddess,34902338,41045150,2022-02-08,yes,6,4
Godtube,,,,yes,5,10
GodVine,,,,yes,9,8
Goodluck Jonathan,,,,yes,2,1
Gospel,,,,yes,32,22
Gospel music,387926240,456383811,2021-10-29,yes,499,320
Gospel of John,,,,yes,1,1
Gospel of Luke,,,,yes,1,2
Gospel of Matthew,,,,yes,1,2
Grant Cardone,11914230,14016741,2021-10-29,yes,5,9
Greater Than AIDS,,,,yes,3,5
Green New Deal,,,,yes,23,6
Green party,,,,yes,4,2
Green Party of the United States,,,,yes,1,1
Greg Gutfeld,,,,yes,8,2
Gregg Braden,953810,1122129,2021-10-29,yes,2,3
Grindr,431400,507500,2022-01-07,yes,15,17
Guardian angel,,,,yes,8,8
Gun dog,5433110,6391894,2021-10-29,yes,4,5
Gun Owners of America,1100000,1300000,2022-01-07,yes,17,33
Guns & Ammo (magazine),,,,yes,7,32
Guns & Patriots,,,,yes,4,5
Haaretz,2489520,2928847,2021-10-29,yes,6,7
Hadith,,,,yes,1,5
Hafiz (Quran),,,,yes,1,13
Hail Mary,,,,yes,2,5
Hair wax,2237655,2632535,2021-10-29,yes,1,1
Hajj,,,,yes,1,4
Hallmark Movie Channel,1108330,1303917,2021-10-29,yes,11,17
Handgun holster,,,,yes,28,43
Hanukkah gelt,46630,54858,2021-10-29,no,,
Harlem,,,,yes,1,1
Harvard Business Review,11986060,14101247,2021-10-29,yes,15,16
Harvard Kennedy School,27938,32868,2021-10-29,no,,
Hasidic Judaism,,,,yes,3,4
Hay House,2248040,2644752,2021-10-29,yes,6,9
Head,50001590,58825400,2021-10-29,no,,
Headache and Migraine News,,,,yes,1,1
Healing,59661750,70190294,2021-10-29,yes,50,75
Health equity,,,,yes,7,3
Hearing,5100000,5900000,2021-12-23,yes,7,8
Hearing Dogs for Deaf People,,,,yes,1,1
Hearing test,790400,929800,2021-12-23,yes,1,1
Heart,252697890,297291635,2021-10-29,yes,57,47
Heart rate,3100000,3700000,2021-12-23,yes,13,8
Heart valve,3200000,3700000,2021-12-23,yes,6,10
Heartbeat International (crisis pregnancy center network),,,,yes,1,1
Heaven,,,,yes,13,15
Heaven Is for Real (film),374982,440980,2022-02-08,yes,4,8
Hebrew Bible,,,,yes,15,14
Hematology,2100000,2500000,2022-01-07,yes,20,19
Hematopoietic stem cell,,,,yes,1,1
Heritage Action,,,,yes,5,1
Higher consciousness,3253306,3827418,2021-10-29,yes,9,13
Hijab,,,,yes,5,6
Hillary Clinton,3000000,3500000,2022-01-07,yes,53,15
Hillsong Church,,,,yes,2,2
Hillsong United (band),21600000,25400000,2022-01-07,yes,8,38
Hindu philosophy,,,,yes,1,2
Hinduism,,,,yes,7,7
Hip hop dancing,272855,321005,2021-10-29,no,,
Hispanic american culture,6100000,7100000,2022-01-07,yes,8,45
Hispanic culture,21900000,25800000,2022-01-07,yes,76,143
Historian,14033410,16509894,2021-10-29,yes,20,15
Historically black colleges and universities,,,,yes,12,14
History of Christianity,,,,yes,4,4
HIV/AIDS research,,,,yes,1,1
Hoda Kotb,5515360,6488658,2021-10-29,yes,3,2
Holy Land,,,,yes,4,3
Holy Spirit,,,,yes,18,16
Holy Week,,,,yes,2,2
Homelessness,,,,yes,39,27
Homosexuality,7200000,8500000,2022-01-07,yes,47,28
Hoover Institution,,,,yes,10,6
Hope,65849890,77470458,2021-10-29,yes,11,11
Hormone,,,,yes,57,47
Hormone imbalance,,,,yes,5,5
HuffPost Black Voices,,,,yes,10,11
Human behavior,,,,yes,5,3
Human body,,,,yes,5,4
Human brain,3160500,3718235,2021-10-29,yes,1,1
Human digestive system,21926505,25785570,2022-02-08,yes,19,29
Human eye,,,,yes,26,19
Human gastrointestinal tract,,,,yes,93,59
Human leg,,,,yes,1,1
Human rights,3400000,4000000,2022-01-07,yes,106,50
Human Rights Campaign,,,,yes,69,42
Human sexuality,563606900,663066941,2021-11-19,yes,103,44
Humanitarian aid,4945,5816,2022-02-08,yes,31,23
Humanitarianism,8604804,10119250,2022-02-08,yes,9,12
Hunting dog,4416360,5195717,2021-10-29,yes,7,10
"I Declare, Joel Osteen",,,,yes,1,1
I Love the USA,,,,yes,1,1
ICD-10 Chapter V: Mental and behavioural disorders,967700,1100000,2021-12-23,yes,4,5
Igreja do Evangelho Quadrangular,16266,19136,2021-10-29,no,,
Imam,21922,25790,2021-10-29,no,,
Immaculate Conception,,,,yes,1,3
Immaculate Heart of Mary,,,,yes,1,1
Immigration,,,,yes,22,17
Immigration law,,,,yes,1,1
Immigration to the United States,,,,yes,2,2
Immune system,,,,yes,84,63
Immunity (medical),,,,yes,21,20
Immunodeficiency,,,,yes,6,9
Incantation,2384040,2804752,2021-10-29,yes,2,3
Inclusion (disability rights),1900000,2300000,2021-12-23,yes,1,2
Independent politician,53560850,63012764,2021-10-29,no,,
India Today,19575408,23020680,2022-02-08,yes,2,2
Indian National Congress,,,,yes,2,2
Indigenous rights,,,,yes,1,1
Individualism,13898801,16344990,2022-02-08,yes,3,3
Injustice,,,,yes,1,1
Innocence Project,,,,yes,8,5
Instinct,21652320,25473317,2021-10-29,no,,
Intensive care medicine,,,,yes,5,4
Interfaith dialogue,,,,yes,3,2
Internal medicine,,,,yes,3,2
International AIDS Society,,,,yes,1,5
International Brotherhood of Electrical Workers,,,,yes,1,1
International Brotherhood of Teamsters,,,,yes,2,2
International Christian Embassy Jerusalem,,,,yes,1,1
International Classification of Headache Disorders,,,,yes,3,4
International Diabetes Federation,,,,yes,1,2
International Fellowship of Christians and Jews,,,,yes,5,10
International Holocaust Remembrance Day,,,,yes,6,5
International Justice Mission,,,,yes,2,2
International Paralympic Committee,,,,yes,3,2
International Planned Parenthood Federation,,,,yes,4,1
International Women's Day,21751224,25579440,2022-02-08,yes,19,20
Intuition (psychology),10418384,12252020,2022-02-08,yes,4,5
Iota Phi Theta,,,,yes,2,4
Islamic architecture,,,,yes,1,2
Islamic banking,14143300,16639176,2021-10-29,no,,
Islamic calendar,,,,yes,1,1
Islamic Circle of North America,,,,yes,3,8
Islamic culture,,,,yes,1,4
Islamic dietary laws,,,,yes,1,5
Islamic Relief USA,,,,yes,3,13
Islamic schools and branches,,,,yes,1,1
Islamism,,,,yes,1,2
Israel Defense Forces,14169760,16670305,2021-10-29,yes,9,21
Israel Project,,,,yes,4,3
Israeli Air Force,1149515,1351830,2022-02-08,yes,1,1
Israeli Navy,,,,yes,1,1
It Gets Better Project,,,,yes,4,4
Ivanka Trump,,,,yes,22,20
Jainism,,,,yes,1,1
Jamaat-e-Islami Pakistan,,,,yes,2,1
James Dobson,,,,yes,2,4
Jay Sekulow,3925990,4618811,2021-10-29,yes,10,8
Jeff Merkley,,,,yes,2,1
Jeremy Camp,6400000,7600000,2022-01-07,yes,11,31
Jerusalem Prayer Team,,,,yes,4,4
Jesus,39000000,45900000,2022-01-07,yes,206,293
Jesus Calling by Sarah Young,,,,yes,2,3
Jesus Culture,,,,yes,2,2
Jesus Daily,359976,423501,2021-10-29,yes,17,36
Jesus movement,,,,yes,9,15
Jesus music,,,,yes,2,2
Jewish Community Center,,,,yes,5,10
Jewish cuisine,,,,yes,15,15
Jewish culture,887200,1000000,2022-01-07,yes,12,30
Jewish history,,,,yes,1,1
Jewish holidays,,,,yes,13,36
Jewish identity,,,,yes,1,1
Jewish music,,,,yes,1,1
Jewish National Fund,,,,yes,3,5
Jewish prayer,,,,yes,4,12
Jewish Theological Seminary of America,,,,yes,1,1
Jewish Voice,,,,yes,5,6
Jews for jesus (organization),,,,yes,4,5
Jill Biden,,,,yes,1,1
Jim Bob Duggar,,,,yes,1,1
Jimmy Carter,,,,yes,3,2
Joe Biden,87100000,102400000,2022-01-07,yes,182,62
Joe Scarborough,,,,yes,1,1
Joel Osteen,23900000,28200000,2022-01-07,yes,17,56
John F. Kennedy,,,,yes,2,2
John Lewis,,,,yes,4,3
John Oliver (comedian),702700,826700,2022-01-07,yes,7,7
John Piper (theologian),,,,yes,12,27
John Stossel,,,,yes,2,1
John the Baptist,,,,yes,2,1
Joint,87712620,103191317,2021-10-29,yes,57,68
Joint stiffness,,,,yes,6,10
Jon Stewart,4595840,5406870,2021-10-29,yes,22,13
Joyce Meyer,24600000,28900000,2022-01-07,yes,19,86
Judaism,,,,yes,75,65
Judicial Watch,8507760,10009129,2021-10-29,yes,43,15
Julian Castro,,,,yes,2,2
Junaid Jamshed,9835860,11571600,2021-10-29,yes,1,1
Justice,58527755,68828640,2022-02-08,yes,12,11
Kaftan,19980730,23506741,2021-10-29,yes,3,3
Kamala Harris,12458270,14656788,2021-10-29,yes,131,68
"Kapuso Mo, Jessica Soho",43126330,50736858,2021-10-29,no,,
Kari Jobe,14900000,17600000,2022-01-07,yes,6,24
Karl Marx,4958520,5833552,2021-10-29,yes,1,1
Karl Rove,,,,yes,2,2
Kashrut,,,,yes,5,4
Ketosis,,,,yes,57,116
Kevin McCarthy (California politician),,,,yes,1,1
Kidney,62803435,73856840,2022-02-08,yes,21,23
Kidney Disease Awareness,2800000,3300000,2021-12-23,yes,1,4
Kikar HaShabbat,378250,445000,2021-10-29,no,,
Kindness,77626950,91325823,2021-10-29,yes,21,14
Kippah,5927641,6973695,2021-10-29,no,,
Kirk Franklin,5100000,6000000,2022-01-07,yes,10,21
Kirsten Gillibrand,,,,yes,3,2
Kirtan,,,,yes,1,1
Knights of Columbus,,,,yes,7,19
Kompas,22181850,26096294,2021-10-29,no,,
Kosher foods,708400,833400,2022-01-07,yes,4,5
Kosher restaurant,285100,335411,2021-10-29,yes,1,1
Kraken,5039250,5928529,2021-10-29,yes,1,1
Krishna,,,,yes,1,1
Kurta,26553690,31239635,2021-10-29,no,,
Laborers' International Union of North America,,,,yes,2,3
Last Week Tonight with John Oliver,1999650,2352529,2021-10-29,yes,38,32
Late Night with Seth Meyers,3400000,4000000,2022-01-07,yes,4,6
Latin America,286331403,336725730,2022-02-08,yes,91,52
Latin Mass,,,,yes,1,3
Latina (magazine),34917176,41062600,2022-02-08,yes,10,15
Latino culture,10900000,12900000,2022-01-07,yes,45,65
Latter Day Saint movement,,,,yes,7,5
Laura W. Bush,,,,yes,3,3
Lauren Daigle,14500000,17100000,2022-01-07,yes,8,42
Law and Justice,,,,yes,6,4
Law enforcement in the United States,,,,yes,3,4
Law Enforcement Today,,,,yes,4,4
Law of attraction (New Thought),14149590,16646576,2021-10-29,yes,15,16
Lawyers' Committee for Civil Rights Under Law,,,,yes,2,2
League of Conservation Voters,,,,yes,12,4
Lecrae,3700000,4300000,2022-01-07,yes,12,28
Lehenga,20211180,23777858,2021-10-29,no,,
Lesbian Pride,,,,yes,3,9
"Lesbian, Gay, Bisexual, Transgender Community Center",,,,no,,
"Lesbianas, gays, bisexuales y transexuales",4378,5150,2022-01-07,no,,
Leukemia & Lymphoma Society,,,,yes,10,17
LGBT community,32300000,38000000,2022-01-07,yes,434,655
LGBT culture,18000000,21100000,2022-01-07,yes,33,87
LGBT Equality World Wide,,,,yes,1,1
LGBT history,,,,yes,31,33
LGBT History Month,,,,yes,1,1
LGBT in the United States,,,,yes,2,9
LGBT parenting,,,,yes,1,1
LGBT rights by country or territory,2100000,2500000,2022-01-07,yes,26,35
LGBT rights in the United States,,,,yes,3,4
LGBT social movements,6800000,8000000,2022-01-07,yes,29,73
LGBT tourism,,,,yes,1,2
LGBTQ Nation,1800000,2200000,2022-01-07,yes,23,52
Libertarian Party (United States),,,,yes,14,7
Liberty,86741670,102049023,2021-10-29,yes,45,36
Liberty University,365901,430471,2021-10-29,yes,3,3
LifeChurch.tv,,,,yes,2,3
LifeWay Christian Resources,,,,yes,4,16
Ligament,,,,yes,2,4
Liver,87343265,102715680,2022-02-08,yes,12,11
Lobbying,9517470,11197023,2021-10-29,yes,7,2
Local church,,,,yes,6,8
Logos Bible Software,,,,yes,3,7
Lord,,,,yes,1,1
Low-carbohydrate diet,,,,yes,129,156
Lung,43881122,51604200,2022-02-08,yes,68,48
Lung cancer awareness,11300000,13300000,2022-01-07,yes,50,67
Lutheranism,,,,yes,7,12
Maariv (newspaper),1836710,2160835,2021-10-29,yes,1,2
Macula of retina,,,,yes,1,6
Madame Noire,,,,yes,1,1
Madrasa,17980690,21153752,2021-10-29,no,,
Magic (paranormal),151388000,178103529,2021-10-29,yes,58,56
Magic word,2693420,3168729,2021-10-29,no,,
Magician (fantasy),20946470,24642905,2021-10-29,yes,9,5
Maher Zain,6481500,7625294,2021-10-29,yes,1,2
Management of dyslexia,,,,yes,1,1
Mandala,19814410,23311070,2021-10-29,yes,3,3
Mandisa,1100000,1300000,2022-01-07,yes,7,17
Mantra,36911430,43425211,2021-10-29,yes,10,11
Manual therapy,,,,yes,10,17
march against monsanto,,,,yes,1,1
"March for Life (Washington, D.C.)",,,,yes,3,3
Marco Rubio,,,,yes,1,1
Marianne Williamson,1298400,1527529,2021-10-29,yes,12,18
Marine Corps Association,161811,190290,2022-02-08,yes,1,3
Marine Corps Times,1426270,1677964,2021-10-29,yes,7,16
Marines,7403579,8706610,2022-02-08,yes,6,16
Mark Kelly,,,,yes,4,1
Marriage (Catholic Church),,,,yes,1,2
Mary (mother of Jesus),,,,yes,7,13
Mass (liturgy),,,,yes,4,4
Master of Divinity,5537,6514,2021-10-29,yes,1,1
Maxine Waters,,,,yes,2,4
Meaning of life,,,,yes,2,2
Media Research Center,7684920,9041082,2021-10-29,yes,1,1
Medicare (United States),,,,yes,135,101
Medicare Advantage,,,,yes,25,38
Medicare Made Clear,,,,yes,1,3
Medicare Part D,,,,yes,9,9
Medina,,,,yes,1,2
Meditation,41000000,48200000,2022-01-07,yes,838,982
Medtronic Diabetes,,,,yes,9,20
Meetic,9350470,11000552,2021-10-29,yes,1,1
Melania Trump,,,,yes,18,15
Melanin,31918550,37551235,2021-10-29,yes,8,9
Mental Health Awareness Month,11200000,13100000,2021-12-23,yes,5,9
Mental Health Foundation,,,,yes,4,6
Merav Michaeli,287380,338094,2021-10-29,no,,
Mercy,,,,yes,1,1
MercyMe,10200000,12000000,2022-01-07,yes,16,60
Messianic Judaism,,,,yes,3,3
Methodism,,,,yes,5,6
Mezuzah,,,,yes,1,1
Michael Beckwith,557520,655905,2021-10-29,yes,1,1
Michael Bloomberg,3225320,3794494,2021-10-29,yes,1,1
Michael W. Smith,15200000,17900000,2022-01-07,yes,13,44
Michelle Obama,26300000,31000000,2022-01-07,yes,92,48
Michigan Republican Party,,,,yes,1,1
Middle Ages,199645970,234877611,2021-10-29,yes,21,17
Midwestern Baptist Theological Seminary,,,,yes,2,4
Migraine Action Association,,,,yes,1,7
Migraine Research Foundation,,,,yes,1,1
Migraine Trust,,,,yes,1,1
Mike Huckabee,,,,yes,11,9
Mike Pence,,,,yes,18,9
Militaria,,,,yes,1,2
Military recruitment,,,,yes,1,1
Military tactics,21526020,25324729,2021-10-29,yes,26,64
Military.com,2378260,2797952,2021-10-29,yes,5,9
Milton Friedman,,,,yes,1,1
Mind‚body interventions,,,,yes,,
Mindfulness,75445542,88759461,2021-10-29,yes,208,287
Ministry of Jesus,,,,yes,9,9
Miracles of Jesus,,,,yes,1,2
Mission (Christianity),,,,yes,7,6
Missionary,238111,280130,2021-10-29,no,,
Mitch McConnell,,,,yes,3,4
Miter joint,,,,yes,1,1
Mitt Romney,,,,yes,6,4
Mitzvah,,,,yes,2,1
Mizhari jewish culture,,,,yes,1,2
Mobility aid,,,,yes,10,22
Mobility scooter,,,,yes,13,18
Mojo (African-American culture),,,,yes,1,1
Money (magazine),356340,419223,2021-10-29,yes,3,2
Mood (psychology),,,,yes,36,11
Morehouse College,296300,348600,2022-01-07,yes,2,2
Mormonism,,,,yes,9,11
Mother Earth News,862150,1014294,2021-10-29,no,,
Mother Jones (magazine),2017140,2373105,2021-10-29,yes,43,22
Mrs. Claus,,,,yes,1,1
Mufti,,,,yes,1,3
Multiple myeloma awareness,3000000,3500000,2021-12-23,yes,13,12
Multiple sclerosis awareness,,,,yes,47,44
Multiple sclerosis research,1000000,1200000,2021-12-23,yes,1,7
Muscular Dystrophy Association,,,,yes,1,2
Muslim holidays,,,,yes,7,2
Muslim Students' Association,,,,yes,1,4
Muslim world,,,,yes,3,19
Muslin,,,,yes,3,1
My Bible,,,,yes,1,4
Mysticism,,,,yes,6,7
NAACP Legal Defense and Educational Fund,,,,yes,4,4
NAMES Project AIDS Memorial Quilt,,,,yes,1,1
Nancy Pelosi,,,,yes,15,7
Narcissism,,,,yes,2,2
National Abortion Federation,,,,yes,1,1
National Action Network,,,,yes,2,2
National Alliance on Mental Illness,1600000,1900000,2021-12-23,yes,19,25
National Association for Gun Rights,1200000,1400000,2022-01-07,yes,19,20
National Association for the Advancement of Colored People,,,,yes,31,31
National Association of Black Accountants,,,,yes,1,1
National Association of the Deaf (United States),155200,182600,2021-12-23,yes,1,1
National Autism Association,611000,718800,2022-01-07,yes,5,13
National Breast Cancer Awareness Month,6400000,7500000,2021-12-23,yes,12,40
National Breast Cancer Foundation,3300000,3900000,2022-01-07,yes,5,23
National Cancer Institute,4700000,5600000,2022-01-07,yes,5,7
National Catholic Register,,,,yes,8,26
National Center for Transgender Equality,,,,yes,8,13
National Fibromyalgia Association,,,,yes,4,9
"National Heart, Lung, and Blood Institute",,,,yes,1,1
National Institute of Allergy and Infectious Diseases,244100,287100,2021-12-23,yes,3,3
National Institute of Mental Health,,,,yes,17,23
National Kidney Foundation,,,,yes,3,12
National Mobility Equipment Dealers Association (NMEDA),,,,yes,1,1
National Multiple Sclerosis Society,,,,yes,18,24
National Museum of African American History and Culture,,,,yes,1,3
National Network to End Domestic Violence,,,,yes,2,1
National Organization for Rare Disorders,,,,yes,1,4
National Organization for Women,3300000,3900000,2022-01-07,yes,13,12
National Parkinson Foundation,1100000,1200000,2021-12-23,yes,1,17
National Pro-Life Alliance,,,,yes,2,2
National Republican Congressional Committee,,,,yes,10,5
National Republican Party,,,,yes,1,1
National Republican Senatorial Committee,,,,yes,7,3
National Review,3421880,4025741,2021-10-29,yes,24,19
National Rifle Association,,,,yes,68,135
National Suicide Prevention Lifeline,,,,yes,8,19
National Urban League,,,,yes,3,7
Native American Church,,,,yes,1,1
Native American civil rights,,,,yes,4,5
Native American culture,,,,yes,6,9
Native american culture in the united states,,,,yes,105,61
Native hawaiian culture,,,,yes,5,3
Nativity of Jesus,,,,yes,11,12
Natural childbirth,,,,yes,3,3
Naturopathy,,,,yes,14,20
Navaid Aziz,,,,yes,1,15
Navy,28001190,32929400,2022-02-08,yes,22,28
Navy Midshipmen,,,,yes,2,2
Navy Times,919761,1081640,2022-02-08,yes,8,8
Navy Veterans of the United States of America,,,,yes,1,1
NBC News,103221490,121437047,2021-10-29,yes,150,54
Neale Donald Walsch,489120,575435,2021-10-29,yes,2,2
Needtobreathe,1200000,1400000,2022-01-07,yes,2,4
Nephrology,,,,yes,2,4
Nerve,21562619,25357640,2022-02-08,yes,7,4
Nervous system,,,,yes,9,3
Neuro-linguistic programming,,,,yes,3,3
Neurofeedback,,,,yes,1,2
Neurology,,,,yes,16,16
Neuron,,,,yes,2,2
Neuropsychology,,,,yes,2,2
Neurosurgery,,,,yes,3,3
New Age,50685500,59630000,2021-10-29,yes,14,11
"New Life Church (Colorado Springs, Colorado)",,,,yes,3,3
New Testament,,,,yes,14,15
"New York Lesbian, Gay, Bisexual, Transgender Film Festival",,,,no,,
