removed_interest,aud_low_est,aud_high_est,date_aud_test,seen_in_CB,unique_user,unique_advertiser
New York Post,,,,yes,22,13
Newsmax Media,9600000,11300000,2022-01-07,yes,49,46
Newt Gingrich,,,,yes,2,2
Nicotine replacement therapy,549600,646600,2021-12-23,yes,3,5
Nikki Haley,,,,yes,11,2
NIV Bible,,,,yes,2,5
NIV Study Bible,,,,yes,1,3
NO H8 Campaign,,,,yes,5,3
Noise-induced hearing loss,,,,yes,2,2
Non-celiac gluten sensitivity,,,,yes,1,1
Nondenominational Christianity,,,,yes,3,6
North Carolina Central University,92729,109092,2021-10-29,no,,
NRA Institute for Legislative Action,5631,6624,2021-10-29,no,,
NRDC Action Fund,,,,yes,2,2
Numerology,,,,yes,2,2
Occult,72375890,85148105,2021-10-29,yes,49,47
Occupational therapy,7418130,8727211,2021-10-29,yes,11,21
Ocean Conservancy,1079530,1270035,2021-10-29,yes,24,16
Odin,4010470,4718200,2021-10-29,yes,3,2
Odyssey,15057790,17715047,2021-10-29,no,,
Old Testament,,,,yes,8,5
Omega Psi Phi,762300,896900,2022-01-07,yes,1,5
Onam,,,,yes,1,1
Oncology,5200000,6100000,2022-01-07,yes,31,28
Online Bible,,,,yes,1,1
Open carry in the United States,,,,yes,2,2
Oral Torah,,,,yes,2,3
Organisation of Islamic Cooperation,,,,yes,1,2
Orthodox Judaism,,,,yes,7,18
Orthodox Judaism outreach,,,,yes,2,3
Orthodox Union,,,,yes,1,1
Our Daily Bread,3700000,4300000,2022-01-07,yes,11,34
Our Lady of Guadalupe,,,,yes,2,5
Our Lady of Sorrows,,,,yes,1,8
Our Lady of the Rosary,,,,yes,2,9
Out (magazine),28765570,33841847,2021-11-19,yes,48,97
Paganism,,,,yes,29,24
Pakistan Peoples Party,,,,yes,1,1
Palmistry,10852060,12767129,2021-10-29,yes,1,1
Pan-Africanism,,,,yes,4,3
pancreatic cancer action network,,,,yes,1,2
Parkinson's disease clinical research,1300000,1500000,2022-01-07,yes,1,15
Parkinson's Disease Foundation,2200000,2600000,2021-12-23,yes,1,16
Parkinson's UK,,,,yes,1,7
Passion Conferences,,,,yes,1,1
Passover,,,,yes,9,9
Passover Seder,,,,yes,8,9
Pastor,412703,485532,2021-10-29,no,,
Pastoral care,6748000,7938823,2021-10-29,yes,2,3
Pat Robertson,,,,yes,2,4
Patient Protection and Affordable Care Act,,,,yes,8,6
Paul Ryan,8413270,9897964,2021-10-29,yes,3,1
Paula White,2108030,2480035,2021-10-29,yes,4,11
PCOS Awareness,412900,485800,2021-12-23,yes,1,1
Peaceful Mind Peaceful Life,,,,yes,1,1
Peanut allergy,,,,yes,4,3
Pentecostalism,,,,yes,8,9
People en Español,,,,yes,4,5
People's Democratic Party (Nigeria),,,,yes,1,1
Perm (hairstyle),11258960,13245835,2021-10-29,yes,2,2
Permanent residence (United States),,,,yes,1,1
Pete Buttigieg,,,,yes,6,5
PFLAG,718600,845400,2022-01-07,yes,7,5
Philosophy of religion,,,,yes,1,2
Physical medicine and rehabilitation,,,,yes,7,10
Physical therapy,,,,yes,79,100
Physical therapy education,,,,yes,1,2
Pink (LGBT magazine),,,,yes,1,2
Planned Parenthood,5116,6017,2022-02-08,yes,50,26
Plantar fascia,,,,yes,1,2
Platelet,3990433,4692750,2022-02-08,yes,2,3
Plus-size clothing,93144330,109581564,2021-10-29,yes,123,156
Plus-size model,19214940,22596770,2022-02-08,yes,15,25
Point Foundation (LGBT),,,,yes,1,2
Political freedom,,,,yes,10,7
Politician,83211620,97896023,2021-10-29,yes,22,9
Politico,,,,yes,49,24
Positive Outlooks,,,,yes,7,5
Positive psychology,,,,yes,9,10
Pow wow,,,,yes,5,10
Power (social and political),,,,yes,10,5
Power of Positivity,,,,yes,7,5
Prana,6086180,7160211,2021-10-29,yes,4,4
PrayAmerica,,,,yes,6,5
Prayer,18800000,22100000,2022-01-07,yes,64,59
Prayer beads,,,,yes,2,3
Pregnancy,29000000,34200000,2022-01-07,yes,195,203
Presbyterian Church (U.S.A.),,,,yes,1,1
Presbyterian Church in America,,,,yes,1,1
Presbyterianism,,,,yes,5,8
President of the United States,,,,yes,20,11
Prevention of HIV/AIDS,,,,yes,8,18
Pride parade,,,,yes,22,51
Priest,64604,76004,2021-10-29,yes,3,4
Priesthood (Catholic Church),,,,yes,2,3
Prime Minister of Israel,,,,yes,7,5
Priscilla Shirer,5500000,6500000,2022-01-07,yes,6,21
Pro-Life Action League,,,,yes,1,1
Professional organizing,,,,yes,1,1
Progressive Christianity,,,,yes,3,4
Progressive Democrats,,,,yes,2,1
Project HOPE,,,,yes,1,1
Prophecy,,,,yes,7,8
Prophet,,,,yes,1,1
Prophets and messengers in Islam,,,,yes,9,15
ProPublica,,,,yes,7,3
Prostate Cancer Foundation,,,,yes,4,13
Protestantism,,,,yes,22,22
Proverbs 31,,,,yes,8,9
Proverbs 31 Ministries,1500000,1700000,2022-01-07,yes,9,15
Psalms,,,,yes,5,2
Psoriasis Awareness,5400000,6400000,2021-12-23,yes,30,26
Psychiatrist,,,,yes,8,6
Psychiatry,,,,yes,32,20
Psychic,16849340,19822752,2021-10-29,yes,14,22
Psychic reading,2714160,3193129,2021-10-29,yes,4,7
Psychoanalysis,,,,yes,9,9
Psychologist,,,,yes,32,31
Public policy,11097050,13055352,2021-10-29,yes,38,30
Pulmonology,,,,yes,6,6
Punjabi language,,,,yes,2,2
Qigong,9032090,10625988,2021-10-29,yes,2,2
Quantum mysticism,,,,yes,1,2
Queercore,,,,yes,3,5
Queerty,,,,yes,6,6
R. C. Sproul,577400,679300,2022-01-07,yes,3,20
Rabbi,,,,yes,6,5
Rachel Maddow,4100000,4800000,2022-01-07,yes,35,17
Racial equality,,,,yes,25,25
Rainbow,,,,yes,16,8
Rainbow flag (LGBT movement),9000000,10600000,2022-01-07,yes,84,124
Ramadan (calendar month),,,,yes,2,2
Ramadan month (high content engagement),4681005,5504863,2022-02-08,no,,
Ramadan month (medium content engagement),,,,no,,
Ramaz,4657,5478,2021-10-29,no,,
Rand Paul,,,,yes,10,6
Rap,15600000,18300000,2022-01-07,yes,1,1
Rap Artist,97450,114647,2021-10-29,no,,
rap hip hop,4625,5441,2021-10-29,no,,
Real Time with Bill Maher,6967740,8197341,2021-10-29,yes,1,1
Reality,,,,yes,12,7
Recovery approach,,,,yes,34,16
Recycling,98196100,115524823,2021-10-29,yes,240,222
RedState,2600000,3100000,2022-01-07,yes,10,10
Reform Judaism,,,,yes,10,17
Reincarnation,,,,yes,1,1
Relevant (magazine),4500000,5300000,2022-01-07,yes,4,16
Religion,907380930,1067506976,2021-10-29,yes,266,286
Religious Action Center of Reform Judaism,,,,yes,2,2
Religious broadcasting,,,,yes,3,2
Religious music,,,,yes,1,1
Religious studies,105889,124575,2021-10-29,no,,
Religious text,,,,yes,4,5
Reproductive health,,,,yes,13,10
Reproductive medicine,,,,yes,1,2
Reproductive rights,,,,yes,14,8
Republican National Committee,,,,yes,5,6
Republican National Convention,,,,yes,2,2
Republican Party (United States),35300000,41500000,2022-01-07,yes,217,138
Republican Party of Arkansas,,,,yes,1,1
Republican Party of Florida,,,,yes,5,8
Republican Party of Minnesota,,,,yes,1,1
Republican Party of Texas,,,,yes,4,8
Republican Party of Wisconsin,,,,yes,1,1
Respiratory system,20259175,23824790,2022-02-08,yes,26,40
Resurrection of Jesus,,,,yes,3,3
Retirement,38445750,45230294,2021-10-29,yes,175,291
Retirement home,5733210,6744952,2021-10-29,yes,11,18
Retreat (spiritual),,,,yes,4,6
Rheumatoid Arthritis awareness,7200000,8500000,2021-12-23,yes,31,49
Rheumatology,,,,yes,9,16
Rhonda Byrne,416550,490058,2021-10-29,no,,
Rick Scott,,,,yes,1,1
Right to housing,,,,yes,1,1
Right to keep and bear arms,,,,yes,11,13
Right to life,,,,yes,5,3
Ritual,152517870,179432788,2021-10-29,yes,33,34
Robert Reich,,,,yes,5,2
Roman Catholic devotions,,,,yes,6,15
Ron DeSantis,,,,yes,7,3
Ron Paul,,,,yes,4,2
Ronald Reagan,,,,yes,14,7
Rosh Hashanah,,,,yes,6,7
Rush Limbaugh,,,,yes,52,61
Rush Limbaugh and the EIB Network,,,,yes,2,2
Ruth Bader Ginsburg,1800000,2100000,2022-01-07,yes,75,15
Sacroiliac joint,,,,yes,1,1
Sadaqah,,,,yes,2,2
Saddleback Church,,,,yes,1,1
Sai Baba of Shirdi,12722550,14967705,2021-10-29,no,,
Saint,,,,yes,2,2
Saint Joseph,,,,yes,4,6
Salt,,,,yes,11,5
Same-sex marriage,7200000,8500000,2022-01-07,yes,22,23
Same-sex marriage in the United States,,,,yes,2,1
Same-sex relationship,,,,yes,2,2
Sarah Palin,,,,yes,5,4
Satan,,,,yes,1,1
Save the Children,,,,yes,19,30
Save the Children International,,,,yes,2,4
Sciatic nerve,2326139,2735540,2022-02-08,yes,2,4
Scott Hahn,1283610,1510129,2021-10-29,yes,7,16
Sean Hannity,16130240,18976752,2021-10-29,yes,95,111
Seasonal affective disorder,544600,640700,2021-12-23,yes,4,5
Second Amendment to the United States Constitution,,,,yes,34,46
Second-wave feminism,,,,yes,1,1
Secular humanism,,,,yes,1,1
Self-healing,19351782,22766802,2021-10-29,yes,11,22
Self-help groups for mental health,,,,yes,3,6
Self-hypnosis,,,,yes,1,1
Selimiye Mosque,117780,138564,2021-10-29,no,,
Seminary,,,,yes,10,12
Serum (blood),,,,yes,7,2
Service dog,,,,yes,12,14
Seventh-day Adventist Church,,,,yes,6,13
Sexology,37538410,44162835,2021-11-19,yes,7,8
Sgt Grit Marine Specialties,,,,yes,1,3
Shabbat,,,,yes,11,12
Shalom Arush,197190,231988,2021-10-29,no,,
Shamanism,21293800,25051529,2021-10-29,yes,11,12
Shambhala Publications,,,,yes,2,2
Sharia,,,,yes,1,1
Shavuot,,,,yes,1,1
Shlomi Shabat,181890,213988,2021-10-29,no,,
Sierra Club,4084550,4805352,2021-10-29,yes,78,48
Sigma Gamma Rho,459800,541000,2022-01-07,yes,1,6
Sigmund Freud,,,,yes,1,1
Sign language,,,,yes,4,4
Sirwal,3668250,4315588,2021-10-29,no,,
Sister 2 Sister,,,,yes,1,1
Skepticism,13540090,15929517,2021-10-29,yes,4,3
Skillet (band),4933190,5803752,2021-10-29,yes,5,8
Skin Cancer Foundation,,,,yes,1,2
Sober living environment,,,,yes,2,1
Social class,,,,yes,4,2
Social equality,34674328,40793327,2021-11-19,yes,92,167
Social inequality,,,,yes,3,3
social issues,,,,yes,33,18
Social justice,3900000,4600000,2022-01-07,yes,132,111
Social psychology,,,,yes,25,23
Society of Jesus,,,,yes,4,8
Son of God,,,,yes,6,8
Son of God (film),8142110,9578952,2021-10-29,yes,5,9
Soul,314650750,370177352,2021-10-29,yes,65,34
South Carolina Republican Party,,,,yes,3,1
"Southeast Christian Church (Louisville, Kentucky)",,,,yes,1,1
Southeastern Baptist Theological Seminary,11505,13535,2021-10-29,no,,
southern gospel music,,,,yes,5,4
Southern Poverty Law Center,1698530,1998270,2021-10-29,yes,49,18
Special forces,25556630,30066623,2021-10-29,yes,10,25
Special Forces (United States Army),7524183,8848440,2022-02-08,yes,12,16
Specialty (medicine),113145255,133058820,2022-02-08,yes,8,8
Speech,,,,yes,1,2
Speech disorder,,,,yes,1,4
Speech-language pathology,,,,yes,11,37
Spell (paranormal),4899080,5763623,2021-10-29,yes,7,10
Spinal cord,6574209,7731270,2022-02-08,yes,7,10
Spinal muscular atrophy,,,,yes,3,3
Spine-health,,,,yes,1,1
Spirit,97719070,114963611,2021-10-29,yes,30,25
Spiritism,64737680,76161976,2021-10-29,no,,
Spiritual (music),,,,yes,3,3
Spiritual practice,,,,yes,14,18
Spiritualism,,,,yes,3,3
Spirituality,,,,yes,106,101
Sports medicine,,,,yes,7,9
St. Peter's Basilica,,,,yes,3,5
Stand for Israel,,,,yes,7,6
Stand Up to Cancer,,,,yes,4,3
Standing Rock Indian Reservation,,,,yes,3,5
StandWithUs,2758360,3245129,2021-10-29,yes,4,9
Stem cell,19377346,22787760,2022-02-08,yes,3,3
Stephen Colbert,7500000,8800000,2022-01-07,yes,16,15
Steven Crowder,2400000,2800000,2022-01-07,yes,24,12
Steven Curtis Chapman,1228700,1445529,2021-10-29,yes,10,23
Stomach,107556879,126486890,2022-02-08,yes,32,32
Stroke Awareness,13300000,15600000,2021-12-23,yes,74,37
Student activism,,,,yes,1,1
Study Bible,,,,yes,4,22
Substance Abuse and Mental Health Services Administration,,,,yes,1,1
Success (magazine),2649970,3117611,2021-10-29,no,,
Sufism,,,,yes,1,1
Suicide prevention,,,,yes,34,43
Suicide Squad,4329345,5091310,2022-02-08,yes,15,18
Sukkah,,,,yes,1,1
Sukkot,,,,yes,2,2
Süleymaniye Mosque,,,,no,,
Sülvame,,,,no,,
Super Deluxe,5749260,6763835,2021-10-29,no,,
Superstition,8879100,10446000,2021-10-29,yes,4,4
Support group,,,,yes,16,14
Support our troops,,,,yes,5,4
Sura,19352240,22767341,2021-10-29,yes,1,1
Surgical oncology,,,,yes,4,6
Susan G. Komen for the Cure,,,,yes,5,9
Sustainability,195179613,229623074,2021-10-29,yes,539,729
Sutra,9897820,11644494,2021-10-29,no,,
Sweat gland,,,,yes,6,5
Tabung Haji,3094808,3640950,2021-10-29,no,,
Taking Control of your Diabetes,,,,yes,1,1
Talisman,14945380,17582800,2021-10-29,no,,
Talmud,,,,yes,1,1
Tammy Duckworth,,,,yes,1,1
Tantra,11266360,13254541,2021-10-29,yes,5,5
Taoism,,,,yes,1,1
Tariq Ramadan,1584240,1863811,2021-10-29,yes,1,25
Tarot,78384450,92217000,2021-10-29,yes,62,93
Tawhid,,,,yes,1,1
Tea Party movement,,,,yes,7,2
Tea Party Patriots,,,,yes,9,6
"Technopark, Trivandrum",17407,20478,2021-10-29,no,,
Ted Cruz,4800000,5600000,2022-01-07,yes,32,9
Televangelism,,,,yes,1,1
Tension headache,,,,yes,3,3
The 700 Club,7557280,8890917,2021-10-29,yes,5,17
The Advocate,3400000,4000000,2022-01-07,yes,22,30
The African History Network,,,,yes,3,5
The American Conservative,,,,yes,1,1
The Atlantic,9959510,11717070,2021-10-29,yes,131,76
The Bible (TV miniseries),13498530,15880623,2021-10-29,yes,5,9
The Big Book (Alcoholics Anonymous),,,,yes,1,1
The Breast Cancer Research Foundation,,,,yes,2,3
The Bronx,29216410,34372247,2021-10-29,yes,2,2
The Catholic University of America,4370,5141,2021-10-29,no,,
The Christian Post,,,,yes,8,5
The Church of Jesus Christ of Latter-day Saints,330129,388387,2021-10-29,yes,23,28
The Colbert Report,,,,yes,9,6
The Comical Conservative,,,,yes,3,3
The Conservative,,,,yes,1,1
The Daily Caller,,,,yes,68,47
The Daily Show,24072430,28320505,2021-10-29,yes,132,66
The Daily Signal,,,,yes,1,1
The Daily Telegraph,9695690,11406694,2021-10-29,no,,
The Diabetes Awareness Ribbon,1100000,1300000,2021-12-23,yes,1,1
The Economic Times,7319730,8611447,2021-10-29,no,,
The gospel,,,,yes,7,9
The Gospel Coalition,2900000,3400000,2022-01-07,yes,9,38
The Grio,,,,yes,8,6
The Heritage Foundation,4401990,5178811,2021-10-29,yes,32,29
The Huffington Post,6110310,7188600,2021-10-29,yes,19,19
The Jerusalem Post,3200000,3700000,2022-01-07,yes,7,17
The Jerusalem Post / JPost.com,,,,yes,3,3
The Jewish Home,,,,yes,1,1
The Nation (Pakistan),,,,yes,2,2
The Nature Conservancy,4588350,5398058,2021-10-29,yes,37,43
The New Civil Rights Movement,,,,yes,1,1
The Observer,7333160,8627247,2021-10-29,no,,
The Rachel Maddow Show,3900000,4600000,2022-01-07,yes,75,30
The Root (magazine),43919140,51669576,2021-10-29,yes,126,127
The Rush Limbaugh Show,11600000,13700000,2022-01-07,yes,22,32
The Sean Hannity Show,7600000,8900000,2022-01-07,yes,5,7
The Sun News,836660,984305,2021-10-29,no,,
The Sunday Times,5427980,6385858,2021-10-29,yes,1,1
The Terminator,5166570,6078317,2021-10-29,yes,2,2
The Thinking Person's Guide to Autism,,,,yes,8,8
The Times,22034500,25922941,2021-10-29,yes,2,2
The Times of India,39728410,46739305,2021-10-29,yes,1,1
The Trevor Project,1800000,2100000,2022-01-07,yes,48,51
The Washington Free Beacon,551720,649082,2021-10-29,no,,
The Washington Post,31832380,37449858,2021-10-29,yes,317,203
The Washington Times,,,,yes,3,3
The White Company,2915425,3429911,2021-10-29,no,,
The Young Turks,20202130,23767211,2021-10-29,yes,24,10
TheBlaze,8393990,9875282,2021-10-29,yes,59,51
TheBlaze Radio Network,3370,3964,2021-10-29,no,,
Theology,,,,yes,15,17
Theology/Pastoral Ministry,3774,4440,2021-10-29,no,,
Thigh,31220578,36715400,2022-02-08,yes,3,3
Third Day,6200000,7300000,2022-01-07,yes,6,14
Third-wave feminism,,,,yes,3,4
Thomas Jefferson,,,,yes,2,2
Thought,356792540,419755929,2021-10-29,yes,24,13
Tim Keller (pastor),1300000,1500000,2022-01-07,yes,8,38
TobyMac,16200000,19100000,2022-01-07,yes,29,69
Together We Served,,,,yes,1,2
Torah,,,,yes,7,9
Torah study,,,,yes,2,2
Townhall.com,,,,yes,3,3
Toxicity,,,,yes,3,4
Traditional Chinese medicine,,,,yes,5,11
Traditional Medicinals,,,,yes,5,5
Traditional medicine,,,,yes,7,7
Traditionalist Catholic,,,,yes,1,1
Transcendental Meditation,,,,yes,6,11
Transgender Law Center,,,,yes,5,6
Transgenderism,7900000,9300000,2022-01-07,yes,108,76
Trevor Noah,11900000,14100000,2022-01-07,yes,47,35
Trey Gowdy,,,,yes,1,1
Truth,191853850,225710411,2021-10-29,yes,1,1
Tucker Carlson,4600000,5400000,2022-01-07,yes,35,36
Tudong,4540710,5342011,2021-10-29,no,,
Turban,,,,yes,1,1
TUSKEGEE UNIVERSITY,43936,51689,2021-10-29,no,,
TV Alhijrah,6287770,7397376,2021-10-29,no,,
Tzipi Livni,306830,360976,2021-10-29,no,,
U.S. Department of Veterans Affairs,136643,160756,2021-10-29,no,,
U.S. Embassy Ghana,2088,2456,2021-10-29,no,,
U.S. Navy,1235280,1453270,2021-10-29,no,,
U.S. Navy Blue Angels,,,,yes,4,4
U.S. Senator Bernie Sanders,,,,yes,49,16
U.S. Senator Elizabeth Warren,,,,yes,20,7
uCatholic,,,,yes,2,5
Ulama,,,,yes,1,2
Ummah,,,,yes,1,3
Umrah,,,,yes,2,4
Unexplained infertility,,,,yes,1,4
Unidentified flying object,,,,yes,11,12
Union for Reform Judaism,,,,yes,3,8
United Methodist Church,5800000,6800000,2022-01-07,yes,21,18
United Spinal Association,,,,yes,1,1
United States Air Force,55857080,65714211,2021-10-29,yes,70,89
United States Air Force Academy,755518,888490,2022-02-08,yes,3,2
United States Armed Forces,67405460,79300541,2021-10-29,yes,95,134
United States Army,74397100,87490990,2022-02-08,yes,126,187
United States Citizenship and Immigration Services,,,,yes,4,3
United States Coast Guard,9884880,11624620,2022-02-08,yes,27,35
United States Conference of Catholic Bishops,,,,yes,5,7
United States Department of Defense,,,,yes,19,13
United States Department of State,,,,yes,1,1
United States Department of the Air Force,88870,104552,2021-10-29,no,,
United States Department of the Navy,1920382,2258370,2022-02-08,yes,7,6
United States Environmental Protection Agency,,,,yes,7,5
United States Holocaust Memorial Museum,,,,yes,8,6
United States Marine Corps,,,,yes,65,74
United States Marine Corps Reserve,286660,337247,2021-10-29,yes,1,1
United States National Health Care Act,,,,yes,2,2
United States Naval Academy,,,,yes,4,5
United States Navy,,,,yes,76,75
United States Navy Reserve,332746,391310,2022-02-08,yes,1,1
United States pro-life movement,,,,yes,10,7
United States Secretary of the Navy,,,,yes,1,1
United Synagogue Youth,,,,yes,1,1
United Way of America,,,,yes,8,4
United With Israel,,,,yes,7,5
University of Texas MD Anderson Cancer Center,,,,yes,2,2
Up from Slavery,,,,yes,1,2
Urban contemporary gospel,,,,yes,2,2
Urology,,,,yes,8,7
US Marine,1894,2228,2021-10-29,no,,
USA Today,105052900,123591647,2021-10-29,yes,102,76
Utility Workers Union of America,,,,yes,1,1
Valhalla,9229480,10858211,2021-10-29,yes,9,7
Van Jones,717300,843882,2021-10-29,yes,3,3
Vanguard (Nigeria),8230490,9682929,2021-10-29,no,,
Vatican City,28445840,33465694,2021-10-29,yes,3,7
Vedas,,,,yes,1,1
Vertebral column,,,,yes,21,25
Veterans,,,,yes,119,192
"Veterans Benefits Administration (VBA), U.S. Department of Veterans Affairs",,,,yes,2,5
Veterans Health Administration (VHA) - U.S. Department of Veterans Affairs,,,,yes,1,3
Veterans of Foreign Wars,,,,yes,10,22
Veterans of Foreign Wars VFW,,,,yes,2,5
Veterinary chiropractic,,,,yes,1,1
Vice (magazine),88629120,104269552,2021-10-29,yes,62,36
Vietnam Veterans of America,,,,yes,1,3
Vitali Klitschko,,,,yes,1,1
Voting Rights Act of 1965,,,,yes,4,2
Voto Latino,,,,yes,2,2
Vox Media,11481301,13502010,2022-02-08,yes,46,26
Waist,38281003,45018460,2022-02-08,yes,5,4
Walk with Jesus,,,,yes,2,6
Wayne Dyer,2549630,2999564,2021-10-29,yes,5,15
Weight loss (Fitness And wellness),,,,yes,174,151
Weight Watchers,,,,yes,59,79
Weight Watchers Recipes,,,,yes,2,2
Wellness (alternative medicine),80368396,94551054,2021-10-29,yes,130,251
West Point - The U.S. Military Academy,896763,1055015,2021-10-29,no,,
Western Christianity,,,,yes,6,4
Westminster Theological Seminary,4000,4705,2021-10-29,yes,1,1
Wisdom,93041790,109460929,2021-10-29,yes,11,9
Witchcraft,77699120,91410729,2021-10-29,yes,135,130
Women in Islam,,,,yes,3,5
Women in medicine,,,,yes,1,1
Women of Faith,,,,yes,5,9
Women's empowerment,,,,yes,6,11
Women's health,,,,yes,85,111
Women's Health (magazine),,,,yes,98,124
Women's rights,13300000,15600000,2022-01-07,yes,93,69
Women's Rights News,,,,yes,6,4
Women's suffrage,,,,yes,4,3
Word On Fire Catholic Ministries,,,,yes,5,15
World AIDS Day,,,,yes,1,1
World Autism Awareness Day,1200000,1400000,2021-12-23,yes,4,25
World Diabetes Day,,,,yes,3,5
World Wide Fund for Nature,16648480,19586447,2021-10-29,yes,48,44
Worship,,,,yes,9,10
Wound healing,,,,yes,1,1
Wounded Warriors Family Support,,,,yes,1,1
Wrist,26472159,31131260,2022-02-08,yes,2,2
Wu Xing,2638970,3104670,2021-10-29,no,,
WW,9204,10828,2021-10-29,no,,
"Yad Vashem: World Holocaust Center, Jerusalem",,,,yes,3,3
yasir qadhi,,,,yes,3,30
Yedioth Ahronoth,2543890,2992811,2021-10-29,no,,
Yeshiva University,37292,43872,2021-10-29,no,,
Yin and yang,12872570,15144200,2021-10-29,no,,
Yoga as exercise or alternative medicine,,,,yes,3,5
Yogi,10433452,12269740,2022-02-08,yes,5,5
Young Americans for Liberty,,,,yes,5,4
young conservatives,,,,yes,3,3
Young Republicans,,,,yes,3,4
Youth Minister,14794,17404,2021-10-29,no,,
Youth ministry,21103,24827,2021-10-29,yes,9,15
Zakat,,,,yes,3,18
Zero waste,29254065,34416547,2021-10-29,yes,102,126
Zeta Phi Beta,616000,724700,2022-01-07,yes,2,7
Zodiac,127011540,149425341,2021-10-29,yes,34,32
